สรุปจำนวนนิสิตระดับบัณฑิตศึกษาที่สำเร็จการศึกษา,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
แยกตามปีที่เข้ารับการศึกษา,,,,,,,,,,,,,,,,,,,,,,,,,,
"ปีที่เข้า
ศึกษา","ภาค
การศึกษา",รับเข้า,"ลาออก/
 หมดสถานภาพ",คงเหลือ,,,,,,,,,,,,,,,,,,,"รวม
 นิสิตจบ",,,"คงเหลือนิสิต
 ปัจจุบัน"
,,,,,2560,,2561,,2562,,2563,,2564,,2565,,2566,,2567,,2568,,,,,
,,,,,จบ,คงอยู่,จบ,คงอยู่,จบ,คงอยู่,จบ,คงอยู่,จบ,คงอยู่,จบ,คงอยู่,จบ,คงอยู่,จบ,คงอยู่,จบ,คงอยู่,ตามแผน,ไม่ตามแผน,รวมนิสิตจบ,
2560,ภาคต้น,27,10,17,0,17,1,16,5,11,8,3,2,1,1,0,0,0,0,0,0,0,1,16,17,0
,ภาคปลาย,9,2,7,0,7,0,7,2,5,3,2,1,1,1,0,0,0,0,0,0,0,0,7,7,0
,รวม,36,12,24,0,24,1,23,7,16,11,5,3,2,2,0,0,0,0,0,0,0,1,23,24,0
2561,ภาคต้น,24,8,16,,,,16,5,11,3,8,4,4,3,1,1,0,0,0,,0,3,13,16,0
,ภาคปลาย,8,1,7,,,,7,0,7,0,7,4,3,1,2,2,0,0,0,0,0,0,7,7,0
,รวม,32,9,23,,,,23,5,18,3,15,8,7,4,3,3,0,0,0,0,0,3,20,23,0
2562,ภาคต้น,22,8,14,,,,,0,14,4,10,4,6,4,2,1,1,0,1,0,1,4,9,13,1
,ภาคปลาย,14,4,10,,,,,0,10,0,10,2,8,3,5,2,3,2,1,0,1,0,9,9,1
,รวม,36,12,24,,,,,0,24,4,20,6,14,7,7,3,4,2,2,0,2,4,18,22,2
2563,ภาคต้น,33,9,24,,,,,,,0,24,5,19,6,13,4,9,2,7,1,6,8,10,18,6
,ภาคปลาย,5,0,5,,,,,,,0,5,0,5,0,5,2,3,0,3,0,3,3,1,4,1
,รวม,38,9,29,,,,,,,0,29,5,24,6,18,6,12,2,10,1,9,11,11,22,7
2564,ภาคต้น,40,8,32,,,,,,,,,0,32,3,29,10,19,11,8,1,7,3,22,25,7
,ภาคปลาย,7,1,6,,,,,,,,,0,6,0,6,1,5,2,3,2,1,0,5,5,1
,รวม,47,9,38,,,,,,,,,0,38,3,35,11,24,13,11,3,8,3,27,30,8
2565,ภาคต้น,36,1,35,,,,,,,,,,,0,35,4,31,15,16,2,14,4,17,21,14
,ภาคปลาย,7,0,7,,,,,,,,,,,0,7,0,7,1,6,0,6,1,0,1,6
,รวม,43,1,42,,,,,,,,,,,0,42,4,38,16,22,2,20,5,17,22,20
2566,ภาคต้น,29,0,29,,,,,,,,,,,,,0,29,6,23,1,22,5,2,7,22
,ภาคปลาย,14,1,13,,,,,,,,,,,,,0,13,0,13,2,11,2,0,2,11
,รวม,43,1,42,,,,,,,,,,,,,0,42,6,36,3,33,7,2,9,33
2567,ภาคต้น,43,1,42,,,,,,,,,,,,,,,0,42,0,42,0,0,0,42
,ภาคปลาย,15,1,14,,,,,,,,,,,,,,,0,14,0,14,0,0,0,14
,รวม,58,2,56,,,,,,,,,,,,,,,0,56,0,56,0,0,0,56
2568,ภาคต้น,40,1,39,,,,,,,,,,,,,,,,,0,39,0,0,0,39
,ภาคปลาย,16,0,16,,,,,,,,,,,,,,,,,0,16,0,0,0,16
,รวม,56,1,55,,,,,,,,,,,,,,,,,0,55,0,0,0,55
รวม,,389,56,333,0,24,1,46,12,58,18,69,22,85,22,105,27,120,39,137,9,183,34,118,152,181
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,ข้อมูล ณ  15 ธันวาคม 2568,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
ปกศ.,รับเข้า,ลาออก,จบ ,คงอยู่,,,,,,,,,,,,,,,,,,,,,,
ปี 2560,36,12,24,0,,,,,,,,,,,,,,,,,,,,,,
ปี 2561,32,9,23,0,,,,,,,,,,,,,,,,,,,,,,
ปี 2562,36,12,22,2,,,,,,,,,,,,,,,,,,,,,,
ปี 2563,38,9,22,7,,,,,,,,,,,,,,,,,,,,,,
ปี 2564,47,9,30,8,,,,,,,,,,,,,,,,,,,,,,
ปี 2565,43,1,22,20,,,,,,,,,,,,,,,,,,,,,,
ปี 2566,43,1,9,33,,,,,,,,,,,,,,,,,,,,,,
ปี 2567,58,2,0,56,,,,,,,,,,,,,,,,,,,,,,
ปี 2568,56,1,0,55,,,,,,,,,,,,,,,,,,,,,,
รวม,389,56,152,181,,,,,,,,,,,,,,,,,,,,,,
